car_ID, time_s, x_est, y_est, v_est, yaw_est, yawdot_est, x_var, y_var, v_var, yaw_var, yawdot_var, x_tru, y_tru, vx_tru, vy_tru
0, 0.000000, -9.701270, 3.923263, 4.430053, 0.000000, 0.000000, 0.018041, 0.018254, 0.094848, 1.000000, 1.000000, -9.833333, 4.000000, 5.000000, 0.000000
1, 0.000000, 24.932753, -4.069228, -5.405656, 0.000000, 0.000000, 0.018095, 0.021559, 0.084589, 1.000000, 1.000000, 24.800000, -4.000000, -6.000000, -0.000000
2, 0.000000, -11.830341, -0.080865, 0.829686, 0.000000, 0.000000, 0.018000, 0.022496, 0.082573, 1.000000, 1.000000, -11.966667, 0.000000, 1.000000, 0.000000
0, 0.033333, -9.706689, 4.000215, 4.438332, -0.322582, -0.012726, 0.010424, 0.008511, 0.098475, 0.172325, 1.000209, -9.666667, 4.000000, 5.000000, 0.000000
1, 0.033333, 24.685277, -3.928616, -5.458824, -0.027690, 0.001830, 0.010974, 0.011763, 0.087540, 0.542311, 1.000640, 24.600000, -4.000000, -6.000000, -0.000000
2, 0.033333, -11.917629, 0.063888, 0.866514, 0.069939, 0.001917, 0.009075, 0.011308, 0.066737, 0.988902, 1.001099, -11.933333, 0.000000, 1.000000, 0.000000
0, 0.066666, -9.636947, 4.033440, 4.466271, -0.260547, -0.009133, 0.006910, 0.006524, 0.082441, 0.126245, 0.998753, -9.500000, 4.000000, 5.000000, 0.000000
1, 0.066666, 24.456009, -3.888375, -5.604602, -0.026333, 0.013320, 0.007856, 0.012375, 0.080754, 0.316929, 1.000560, 24.400000, -4.000000, -6.000000, -0.000000
2, 0.066666, -11.983636, 0.109594, 0.852023, 0.151126, 0.006031, 0.006186, 0.007830, 0.057371, 0.958431, 1.002079, -11.900000, 0.000000, 1.000000, 0.000000
0, 0.100000, -9.456697, 3.994781, 4.627734, -0.344693, -0.105651, 0.005399, 0.006329, 0.072500, 0.076603, 0.985987, -9.333333, 4.000000, 5.000000, 0.000000
