sen_ID_lid_rad, time_s, x, y, v
0, 0.000000, -9.664914, 3.917538, 0.000000
1, 0.000000, -9.848994, 3.943105, -4.535816
0, 0.000000, 24.968419, -4.082462, 0.000000
1, 0.000000, 24.815028, -3.861907, -5.827786
0, 0.000000, -11.798247, -0.082462, 0.000000
1, 0.000000, -11.959715, -0.066064, -0.904339
0, 0.033333, -9.728671, 4.209419, 0.000000
1, 0.033333, -9.977062, 3.740687, -4.342643
0, 0.033333, 24.537996, -3.790581, 0.000000
1, 0.033333, 24.912705, -3.195188, -5.644780
0, 0.033333, -11.995337, 0.209419, 0.000000
1, 0.033333, -12.120163, -0.407778, -0.722559
0, 0.066666, -9.689590, 4.194301, 0.000000
1, 0.066666, -9.953350, 4.117058, -4.173173
0, 0.066666, 24.210410, -3.805699, 0.000000
1, 0.066666, 24.882604, -3.917875, -5.485962
0, 0.066666, -12.089590, 0.194301, 0.000000
1, 0.066666, -12.363217, -0.078099, -0.564996
0, 0.100000, -9.348285, 4.058288, 0.000000
1, 0.100000, -9.341650, 3.970413, -4.672604
0, 0.100000, 24.185048, -3.941712, 0.000000
1, 0.100000, 24.207985, -3.926701, -5.996559
0, 0.100000, -11.881618, 0.058288, 0.000000
1, 0.100000, -11.862649, -0.035611, -1.076879
0, 0.133333, -9.155778, 4.108078, 0.000000
1, 0.133333, -9.160047, 3.917212, -4.692128
0, 0.133333, 24.010888, -3.891922, 0.000000
1, 0.133333, 23.990329, -3.817362, -6.027795
0, 0.133333, -11.822445, 0.108078, 0.000000
1, 0.133333, -11.794106, -0.086697, -1.109431
0, 0.166666, -9.134921, 3.889358, 0.000000
1, 0.166666, -8.598383, 3.935937, -4.443353
0, 0.166666, 23.665079, -4.110642, 0.000000
1, 0.166666, 23.368040, -4.193620, -5.791310
0, 0.166666, -11.934921, -0.110642, 0.000000
1, 0.166666, -11.406860, 0.126147, -0.874296
0, 0.200000, -8.905664, 3.781877, 0.000000
1, 0.200000, -8.696014, 4.292982, -4.042753
0, 0.200000, 23.527669, -4.218123, 0.000000
