sen_ID_lid_rad,time_s,nis
1,0.000000,21.983941
1,0.000000,32.294180
1,0.000000,1.980881
0,0.033333,2.009426
1,0.033333,2.601029
0,0.033333,3.059324
1,0.033333,2.286423
0,0.033333,2.671583
1,0.033333,1.749240
0,0.066666,2.096294
1,0.066666,1.349306
0,0.066666,3.397967
1,0.066666,3.410615
0,0.066666,1.606268
1,0.066666,2.751372
0,0.100000,0.843833
1,0.100000,1.352280
0,0.100000,0.466138
1,0.100000,1.772502
0,0.100000,0.343364
1,0.100000,2.126849
0,0.133333,1.516370
1,0.133333,0.529949
0,0.133333,0.448113
1,0.133333,0.885777
0,0.133333,0.332818
1,0.133333,2.057957
0,0.166666,0.149659
1,0.166666,3.217299
0,0.166666,3.102825
1,0.166666,1.849179
0,0.166666,1.596128
1,0.166666,3.519038
0,0.200000,0.592410
1,0.200000,5.312704
0,0.200000,1.917133
1,0.200000,1.320478
0,0.200000,2.276049
1,0.200000,1.273150
0,0.233333,0.520903
1,0.233333,0.054539
0,0.233333,1.854036
1,0.233333,1.081026
0,0.233333,0.856767
1,0.233333,1.196248
0,0.266666,1.726662
1,0.266666,7.480892
0,0.266666,0.633101
1,0.266666,7.575489
0,0.266666,1.804883
1,0.266666,6.132570
0,0.300000,0.819628
1,0.300000,0.336454
0,0.300000,2.263437
1,0.300000,0.854213
0,0.300000,0.862351
1,0.300000,1.411082
0,0.333333,1.495592
1,0.333333,3.787498
0,0.333333,0.383064
1,0.333333,4.323504
0,0.333333,1.125350
1,0.333333,4.227792
0,0.366666,6.202372
1,0.366666,3.741471
0,0.366666,4.111179
1,0.366666,2.221448
0,0.366666,4.914008
1,0.366666,2.880604
0,0.400000,3.397512
1,0.400000,0.072938
0,0.400000,1.852507
1,0.400000,0.559299
0,0.400000,2.597601
1,0.400000,1.112834
0,0.433333,0.196958
1,0.433333,8.575120
0,0.433333,0.196972
1,0.433333,6.114219
0,0.433333,0.035231
1,0.433333,2.142556
0,0.466666,0.533226
1,0.466666,3.587878
0,0.466666,0.714490
1,0.466666,4.378162
0,0.466666,1.041796
1,0.466666,4.788763
0,0.500000,0.624394
1,0.500000,1.843402
0,0.500000,0.287073
1,0.500000,0.983426
0,0.500000,0.344083
1,0.500000,2.487716
0,0.533333,2.324409
1,0.533333,1.276951
0,0.533333,1.634260
1,0.533333,0.845198
0,0.533333,3.391041
1,0.533333,1.502424
0,0.566666,2.718258
1,0.566666,0.795262
0,0.566666,2.216294
1,0.566666,1.004626
0,0.566666,3.236364
1,0.566666,1.592638
0,0.600000,0.196742
1,0.600000,3.266462
0,0.600000,0.420347
1,0.600000,2.213185
0,0.600000,0.385210
1,0.600000,4.721341
0,0.633333,5.075449
1,0.633333,3.773377
0,0.633333,8.330079
1,0.633333,3.679213
0,0.633333,4.204144
1,0.633333,3.354903
0,0.666666,3.014239
1,0.666666,5.572918
0,0.666666,0.829080
1,0.666666,5.677605
0,0.666666,2.909623
1,0.666666,5.937608
0,0.700000,1.313259
1,0.700000,2.849502
0,0.700000,1.381019
1,0.700000,2.519533
0,0.700000,1.312231
1,0.700000,1.108097
0,0.733333,1.359425
1,0.733333,1.551222
0,0.733333,2.575883
1,0.733333,1.589458
0,0.733333,1.253256
1,0.733333,3.890457
0,0.766666,0.430262
1,0.766666,0.258895
0,0.766666,1.217749
1,0.766666,0.109818
0,0.766666,0.508267
1,0.766666,2.193378
0,0.800000,0.220293
1,0.800000,1.278358
0,0.800000,2.285209
1,0.800000,1.477079
0,0.800000,0.253760
1,0.800000,2.264968
0,0.833333,0.072909
1,0.833333,2.071333
0,0.833333,0.756859
1,0.833333,2.009706
0,0.833333,0.055858
1,0.833333,2.884449
0,0.866666,3.026266
1,0.866666,1.351959
0,0.866666,1.286675
1,0.866666,1.448912
0,0.866666,2.810481
1,0.866666,2.977095
0,0.900000,1.562470
1,0.900000,1.891342
0,0.900000,0.411740
1,0.900000,2.946641
0,0.900000,1.691345
1,0.900000,1.908923
0,0.933333,5.021478
1,0.933333,3.392254
0,0.933333,7.862435
1,0.933333,2.765030
0,0.933333,4.316989
1,0.933333,6.828253
0,0.966666,3.027860
1,0.966666,3.434251
0,0.966666,1.142260
1,0.966666,3.150174
0,0.966666,3.190235
1,0.966666,4.944422
0,1.000000,2.794390
1,1.000000,3.256922
0,1.000000,2.508486
1,1.000000,5.902834
0,1.000000,2.683611
1,1.000000,1.677931
0,1.033333,0.463662
1,1.033333,0.116023
0,1.033333,1.294376
1,1.033333,0.750063
0,1.033333,0.404697
1,1.033333,0.487851
0,1.066666,1.277574
1,1.066666,0.626106
0,1.066666,1.671800
1,1.066666,0.393880
0,1.066666,0.866298
1,1.066666,1.840780
0,1.100000,0.267616
1,1.100000,2.888924
0,1.100000,0.030678
1,1.100000,2.564038
0,1.100000,0.515009
1,1.100000,5.849729
0,1.133333,1.452146
1,1.133333,0.695358
0,1.133333,2.544408
1,1.133333,0.683796
0,1.133333,1.190328
1,1.133333,0.952821
0,1.166666,2.067726
1,1.166666,1.040621
0,1.166666,1.162739
1,1.166666,0.925247
0,1.166666,1.866596
1,1.166666,4.220673
0,1.200000,0.457085
1,1.200000,4.742426
0,1.200000,0.142137
1,1.200000,4.593196
0,1.200000,0.518062
1,1.200000,7.482084
0,1.233333,0.345169
1,1.233333,6.234361
