car_ID,time_s,x_est,y_est,v_est,yaw_est,yawdot_est,x_var,y_var,v_var,yaw_var,yawdot_var,x_tru,y_tru,vx_tru,vy_tru
0,0.000000,-9.664914,3.917538,0.000000,0.000000,0.000000,0.022500,0.022500,1.000000,1.000000,1.000000,-9.833333,4.000000,5.000000,0.000000
1,0.000000,24.968419,-4.082462,0.000000,0.000000,0.000000,0.022500,0.022500,1.000000,1.000000,1.000000,24.800000,-4.000000,-6.000000,-0.000000
2,0.000000,-11.798247,-0.082462,0.000000,0.000000,0.000000,0.022500,0.022500,1.000000,1.000000,1.000000,-11.966667,0.000000,1.000000,0.000000
0,0.033333,-9.697561,4.063479,-0.046190,0.000000,-0.000000,0.011521,0.011250,0.980242,1.001111,1.001111,-9.666667,4.000000,5.000000,0.000000
1,0.033333,24.748016,-3.936521,-0.311830,0.000000,-0.000000,0.011521,0.011250,0.980242,1.001111,1.001111,24.600000,-4.000000,-6.000000,-0.000000
2,0.033333,-11.899170,0.063479,-0.142786,0.000000,-0.000000,0.011521,0.011250,0.980242,1.001111,1.001111,-11.933333,0.000000,1.000000,0.000000
0,0.066666,-9.695131,4.107088,-0.034111,-0.003409,-0.000213,0.008515,0.007500,0.918226,1.004425,1.002222,-9.500000,4.000000,5.000000,0.000000
1,0.066666,24.540320,-3.892823,-1.031020,-0.022989,-0.001435,0.008527,0.007516,0.918284,1.003404,1.002218,24.400000,-4.000000,-6.000000,-0.000000
2,0.066666,-11.973063,0.107105,-0.396810,-0.010535,-0.000658,0.008517,0.007503,0.918237,1.004229,1.002221,-11.900000,0.000000,1.000000,0.000000
0,0.100000,-9.577800,4.094834,0.590025,-0.001427,-0.000055,0.007641,0.005626,0.812845,1.009937,1.003333,-9.333333,4.000000,5.000000,0.000000
1,0.100000,24.403530,-3.905190,-1.623527,0.019806,0.002432,0.007797,0.005996,0.814166,0.990677,1.003182,24.200000,-4.000000,-6.000000,-0.000000
2,0.100000,-11.947220,0.094787,-0.217955,0.004443,0.000674,0.007664,0.005686,0.813051,1.006862,1.003309,-11.866667,0.000000,1.000000,0.000000
0,0.133333,-9.428286,4.097416,1.408293,0.003656,0.000616,0.007547,0.004557,0.682449,1.013925,1.004378,-9.166667,4.000000,5.000000,0.000000
1,0.133333,24.244831,-3.901882,-2.321756,-0.005946,-0.000641,0.007876,0.006396,0.688331,0.917796,1.003260,24.000000,-4.000000,-6.000000,-0.000000
2,0.133333,-11.908518,0.097476,0.040235,-0.000978,0.000117,0.007510,0.004614,0.682571,1.010161,1.004373,-11.833333,0.000000,1.000000,0.000000
0,0.166666,-9.307990,4.053253,1.929142,-0.258273,-0.039285,0.007805,0.004785,0.553754,0.978898,1.004445,-9.000000,4.000000,5.000000,0.000000
1,0.166666,24.008832,-3.983166,-3.339841,0.495021,0.068741,0.007989,0.008779,0.565385,0.716360,1.000334,23.800000,-4.000000,-6.000000,-0.000000
2,0.166666,-11.916746,0.062214,-0.013882,0.061949,0.006243,0.007508,0.003813,0.550893,1.017662,1.005460,-11.800000,0.000000,1.000000,0.000000
0,0.200000,-9.144903,3.964841,2.628404,-0.714954,-0.115897,0.007847,0.006894,0.445607,0.834043,1.000915,-8.833333,4.000000,5.000000,0.000000
1,0.200000,23.804603,-4.096003,-4.122426,0.718958,0.094583,0.008075,0.011204,0.464225,0.430815,0.992506,23.600000,-4.000000,-6.000000,-0.000000
2,0.200000,-11.892099,0.021753,0.124575,0.137787,0.013854,0.007444,0.003266,0.435105,1.027945,1.006552,-11.766667,0.000000,1.000000,0.000000
0,0.233333,-9.026685,3.946481,2.937776,-0.466335,-0.061122,0.008144,0.008923,0.366462,0.573782,0.991281,-8.666667,4.000000,5.000000,0.000000
1,0.233333,23.497163,-4.048689,-4.837206,0.043027,-0.090843,0.008731,0.011433,0.385827,0.219723,0.981633,23.400000,-4.000000,-6.000000,-0.000000
2,0.233333,-11.912899,0.011291,-0.001507,0.150260,0.014243,0.007265,0.002828,0.341690,1.041840,1.007663,-11.733333,0.000000,1.000000,0.000000
0,0.266666,-8.810751,3.879260,3.667431,-0.403164,-0.035777,0.007974,0.010504,0.303838,0.327965,0.978034,-8.500000,4.000000,5.000000,0.000000
1,0.266666,23.323553,-4.158514,-5.137534,0.278584,-0.006614,0.007303,0.012569,0.318344,0.110417,0.969631,23.200000,-4.000000,-6.000000,-0.000000
2,0.266666,-11.846074,-0.015764,0.315355,0.184645,0.014771,0.007003,0.002527,0.269668,1.058086,1.008774,-11.700000,0.000000,1.000000,0.000000
0,0.300000,-8.648987,3.921420,3.775594,-0.077718,0.065768,0.007573,0.011356,0.252052,0.172116,0.963623,-8.333333,4.000000,5.000000,0.000000
1,0.300000,23.034677,-4.085962,-5.564569,-0.000858,-0.152927,0.007026,0.011913,0.261754,0.061309,0.954827,23.000000,-4.000000,-6.000000,-0.000000
2,0.300000,-11.855098,-0.017066,0.246365,0.185003,0.014352,0.006709,0.002274,0.215473,1.076524,1.009777,-11.666667,0.000000,1.000000,0.000000
0,0.333333,-8.432562,3.862567,4.271794,-0.141887,0.023232,0.006658,0.011263,0.209524,0.098037,0.949872,-8.166667,4.000000,5.000000,0.000000
1,0.333333,22.847111,-4.159192,-5.669408,0.106634,-0.050198,0.006505,0.011223,0.216071,0.039551,0.934037,22.800000,-4.000000,-6.000000,-0.000000
2,0.333333,-11.790745,-0.032275,0.484612,0.102768,-0.015832,0.006391,0.002145,0.175030,1.095115,1.010538,-11.633333,0.000000,1.000000,0.000000
0,0.366666,-8.154006,3.975947,4.694428,0.180390,0.211741,0.006276,0.010843,0.175297,0.061064,0.932587,-8.000000,4.000000,5.000000,0.000000
1,0.366666,22.689662,-4.066221,-5.475764,-0.042309,-0.257176,0.006243,0.010399,0.179698,0.029877,0.903922,22.600000,-4.000000,-6.000000,-0.000000
2,0.366666,-11.680755,-0.014135,0.877400,0.140440,-0.002274,0.006129,0.002225,0.144888,1.106602,1.010249,-11.600000,0.000000,1.000000,0.000000
0,0.400000,-7.928178,4.038112,4.970717,0.259395,0.246626,0.005792,0.010283,0.148939,0.043014,0.908815,-7.833333,4.000000,5.000000,0.000000
1,0.400000,22.512298,-4.003615,-5.442920,-0.119390,-0.389428,0.005946,0.009585,0.151320,0.026160,0.862931,22.400000,-4.000000,-6.000000,-0.000000
2,0.400000,-11.605014,0.002339,1.092223,0.212596,0.022570,0.005945,0.002992,0.122537,1.082962,1.005581,-11.566667,0.000000,1.000000,0.000000
0,0.433333,-7.746417,4.003742,5.072906,0.151170,0.064753,0.005528,0.009696,0.128731,0.034069,0.874572,-7.666667,4.000000,5.000000,0.000000
1,0.433333,22.299227,-4.026749,-5.583588,-0.076750,-0.239660,0.005685,0.009002,0.129369,0.025171,0.808133,22.200000,-4.000000,-6.000000,-0.000000
2,0.433333,-11.574668,-0.013711,1.117092,-0.016648,-0.058280,0.005746,0.004486,0.106023,0.981848,0.990951,-11.533333,0.000000,1.000000,0.000000
0,0.466666,-7.594469,4.024405,5.030397,0.147442,0.061067,0.005361,0.009251,0.112742,0.029699,0.828084,-7.500000,4.000000,5.000000,0.000000
1,0.466666,22.055760,-4.001823,-5.796127,-0.097383,-0.256555,0.005469,0.008739,0.112232,0.025103,0.737021,22.000000,-4.000000,-6.000000,-0.000000
2,0.466666,-11.573279,-0.005757,1.060557,0.076727,-0.023932,0.005448,0.005915,0.093788,0.813102,0.966507,-11.500000,0.000000,1.000000,0.000000
0,0.500000,-7.395986,3.995093,5.134288,0.073918,-0.132012,0.005196,0.008842,0.099974,0.027826,0.769936,-7.333333,4.000000,5.016667,0.000000
1,0.500000,21.860999,-4.021134,-5.808738,-0.056565,-0.100657,0.005266,0.008702,0.098824,0.024956,0.650739,21.800000,-4.000000,-6.000000,-0.000000
2,0.500000,-11.519872,-0.028769,1.143269,-0.149083,-0.108666,0.005215,0.006708,0.084507,0.633713,0.938711,-11.466667,0.000000,1.066519,0.017777
0,0.533333,-7.187819,4.066947,5.281780,0.146608,0.063786,0.005025,0.008620,0.089613,0.027016,0.700206,-7.166111,4.000000,5.033334,0.000000
1,0.533333,21.684678,-3.939992,-5.777553,-0.149504,-0.392843,0.005075,0.008718,0.088212,0.024357,0.557224,21.600000,-4.000000,-6.000000,-0.000000
2,0.533333,-11.452408,0.031418,1.271372,0.305141,0.077557,0.004951,0.007232,0.077499,0.474967,0.911107,-11.431116,0.000593,1.132661,0.039029
0,0.566666,-7.058542,4.128986,5.166766,0.200820,0.226246,0.004872,0.008527,0.081286,0.026386,0.620239,-6.998333,4.000000,5.050001,0.000000
1,0.566666,21.432090,-3.878692,-5.985854,-0.198617,-0.498803,0.004902,0.008692,0.079891,0.023263,0.465167,21.400000,-4.000000,-6.000000,-0.000000
2,0.566666,-11.461474,0.091581,1.175862,0.633200,0.220422,0.004796,0.007514,0.072078,0.348032,0.885055,-11.393361,0.001894,1.198294,0.063970
0,0.600000,-6.871337,4.130941,5.213379,0.162114,0.081412,0.004735,0.008398,0.074639,0.025668,0.537093,-6.830000,4.000000,5.066668,0.000000
1,0.600000,21.236037,-3.869687,-5.982494,-0.175625,-0.373178,0.004755,0.008715,0.073374,0.021611,0.379059,21.200000,-4.000000,-6.000000,-0.000000
2,0.600000,-11.411038,0.099127,1.233511,0.557407,0.175770,0.004670,0.007072,0.068050,0.261820,0.863469,-11.353418,0.004026,1.263263,0.092806
0,0.633333,-6.660998,3.985923,5.242751,-0.070117,-0.640987,0.004601,0.008351,0.069275,0.024593,0.455043,-6.661111,4.000000,5.083334,0.000000
1,0.633333,21.047258,-4.011441,-5.883981,0.024839,0.276009,0.004617,0.008672,0.068203,0.019654,0.304203,21.000000,-4.000000,-6.000000,-0.000000
2,0.633333,-11.326059,-0.013348,1.270870,-0.106214,-0.184620,0.004604,0.006805,0.064893,0.200933,0.843335,-11.311309,0.007119,1.327392,0.125739
0,0.666666,-6.461784,4.041534,5.345080,-0.001761,-0.371313,0.004425,0.008321,0.064857,0.023212,0.379411,-6.491666,4.000000,5.100001,0.000000
1,0.666666,20.874595,-3.947469,-5.850603,-0.048428,0.033304,0.004440,0.008550,0.063992,0.017701,0.243278,20.800000,-4.000000,-6.000000,-0.000000
