car_ID, time_s, x_est, y_est, v_est, yaw_est, yawdot_est, x_var, y_var, v_var, yaw_var, yawdot_var, x_tru, y_tru, vx_tru, vy_tru
0, 0.000000, -9.701270, 3.923263, 4.430053, 0.000000, 0.000000, 0.018041, 0.018254, 0.094848, 1.000000, 1.000000, -9.833333, 4.000000, 5.000000, 0.000000
1, 0.000000, 24.932753, -4.069228, -5.405656, 0.000000, 0.000000, 0.018095, 0.021559, 0.084589, 1.000000, 1.000000, 24.800000, -4.000000, -6.000000, -0.000000
2, 0.000000, -11.830341, -0.080865, 0.829686, 0.000000, 0.000000, 0.018000, 0.022496, 0.082573, 1.000000, 1.000000, -11.966667, 0.000000, 1.000000, 0.000000
0, 0.033333, -9.687952, 3.840477, 4.464285, -0.669824, -0.021820, 0.019407, 0.017529, 0.097029, 0.603390, 1.000686, -9.666667, 4.000000, 5.000000, 0.000000
1, 0.033333, 24.821162, -3.976179, -5.460901, -0.555176, -0.017790, 0.021469, 0.028971, 0.087064, 0.880339, 1.000983, 24.600000, -4.000000, -6.000000, -0.000000
2, 0.033333, -11.864807, -0.079376, 0.873388, 0.002893, 0.000092, 0.015208, 0.022742, 0.066860, 1.001081, 1.001111, -11.933333, 0.000000, 1.000000, 0.000000
0, 0.066666, -9.623248, 3.913675, 4.555489, -0.019362, 0.030119, 0.017183, 0.017790, 0.088082, 0.200895, 0.998903, -9.500000, 4.000000, 5.000000, 0.000000
1, 0.066666, 24.675543, -4.144922, -5.538627, 0.550067, 0.063594, 0.019343, 0.031940, 0.087755, 0.170357, 0.998489, 24.400000, -4.000000, -6.000000, -0.000000
2, 0.066666, -11.922784, -0.077913, 0.865100, 0.005220, 0.000207, 0.013298, 0.023937, 0.057188, 1.004406, 1.002222, -11.900000, 0.000000, 1.000000, 0.000000
0, 0.100000, -9.470361, 3.841380, 4.717085, -0.344352, -0.063434, 0.014628, 0.015413, 0.065397, 0.052907, 0.990874, -9.333333, 4.000000, 5.000000, 0.000000
