sen_ID_lid_rad, time_s, nis
1, 0.000000, 21.983941
1, 0.000000, 32.294180
1, 0.000000, 1.980881
1, 0.033333, 2.293600
1, 0.033333, 2.888118
1, 0.033333, 1.983372
1, 0.066666, 3.013638
1, 0.066666, 2.299256
1, 0.066666, 3.521278
1, 0.100000, 1.249606
1, 0.100000, 2.672025
1, 0.100000, 2.018837
1, 0.133333, 0.473595
1, 0.133333, 2.041538
1, 0.133333, 1.992257
1, 0.166666, 3.445505
1, 0.166666, 3.581791
1, 0.166666, 3.065266
1, 0.200000, 4.003983
1, 0.200000, 2.429905
1, 0.200000, 1.128248
1, 0.233333, 0.281617
1, 0.233333, 0.700606
1, 0.233333, 1.237056
1, 0.266666, 7.343506
1, 0.266666, 5.776278
1, 0.266666, 6.574774
1, 0.300000, 0.340887
1, 0.300000, 1.289519
1, 0.300000, 1.640466
1, 0.333333, 3.664343
1, 0.333333, 4.831918
1, 0.333333, 3.671819
1, 0.366666, 3.192660
1, 0.366666, 3.463430
1, 0.366666, 2.664389
1, 0.400000, 0.176131
1, 0.400000, 0.440542
1, 0.400000, 1.072691
1, 0.433333, 8.392775
1, 0.433333, 6.330476
1, 0.433333, 1.988140
1, 0.466666, 3.244492
1, 0.466666, 1.979375
1, 0.466666, 1.730863
1, 0.500000, 1.663150
1, 0.500000, 2.026547
1, 0.500000, 2.291513
1, 0.533333, 0.963006
1, 0.533333, 1.778011
1, 0.533333, 1.498833
1, 0.566666, 0.798664
1, 0.566666, 1.615259
1, 0.566666, 1.435817
1, 0.600000, 2.530983
1, 0.600000, 2.218822
1, 0.600000, 2.915466
1, 0.633333, 2.706890
1, 0.633333, 4.182488
1, 0.633333, 1.688455
1, 0.666666, 5.497021
1, 0.666666, 5.298236
1, 0.666666, 5.099490
1, 0.700000, 1.362675
1, 0.700000, 2.444738
1, 0.700000, 1.419023
1, 0.733333, 1.951525
1, 0.733333, 1.806830
1, 0.733333, 3.279591
1, 0.766666, 0.336606
1, 0.766666, 0.084981
1, 0.766666, 1.650805
1, 0.800000, 0.152265
1, 0.800000, 0.893412
1, 0.800000, 1.842864
1, 0.833333, 3.095598
1, 0.833333, 1.977036
1, 0.833333, 2.175736
1, 0.866666, 2.905914
1, 0.866666, 2.081948
1, 0.866666, 3.131989
1, 0.900000, 3.050360
1, 0.900000, 2.836654
1, 0.900000, 1.338462
1, 0.933333, 3.184008
1, 0.933333, 2.465817
1, 0.933333, 2.110362
1, 0.966666, 3.907130
1, 0.966666, 2.994619
1, 0.966666, 2.373609
1, 1.000000, 4.768920
1, 1.000000, 4.708752
1, 1.000000, 1.338153
1, 1.033333, 0.207924
1, 1.033333, 0.185064
1, 1.033333, 2.051000
1, 1.066666, 0.785855
1, 1.066666, 0.700290
1, 1.066666, 3.655100
1, 1.100000, 2.987292
1, 1.100000, 2.269510
1, 1.100000, 2.084350
1, 1.133333, 0.617083
1, 1.133333, 0.776047
1, 1.133333, 3.346984
1, 1.166666, 1.364099
1, 1.166666, 0.987901
1, 1.166666, 2.665099
1, 1.200000, 5.091840
1, 1.200000, 5.342315
1, 1.200000, 9.073420
1, 1.233333, 5.756162
1, 1.233333, 6.721794
1, 1.233333, 1.588301
1, 1.266666, 8.046734
1, 1.266666, 7.636653
1, 1.266666, 4.275880
1, 1.300000, 8.218924
1, 1.300000, 8.521864
1, 1.300000, 9.211278
1, 1.333333, 5.248640
1, 1.333333, 4.503109
1, 1.333333, 2.497699
1, 1.366666, 1.042293
1, 1.366666, 1.192581
1, 1.366666, 2.587284
1, 1.400000, 0.832983
1, 1.400000, 0.677258
1, 1.400000, 1.905582
1, 1.433333, 3.056083
1, 1.433333, 2.460605
1, 1.433333, 2.143657
1, 1.466666, 1.756222
1, 1.466666, 2.024460
1, 1.466666, 6.360110
1, 1.500000, 6.749919
1, 1.500000, 6.604483
1, 1.500000, 2.585575
1, 1.533333, 8.507545
1, 1.533333, 8.505292
1, 1.533333, 12.039936
1, 1.566666, 2.548457
1, 1.566666, 2.059643
1, 1.566666, 2.083758
1, 1.600000, 3.171929
1, 1.600000, 3.791054
1, 1.600000, 4.515138
1, 1.633333, 1.579820
1, 1.633333, 1.398920
1, 1.633333, 2.989232
1, 1.666666, 2.155038
1, 1.666666, 2.017874
1, 1.666666, 2.716757
1, 1.700000, 0.345986
1, 1.700000, 0.808598
1, 1.700000, 3.880261
1, 1.733333, 3.448544
1, 1.733333, 2.525348
1, 1.733333, 2.423154
1, 1.766666, 0.515699
1, 1.766666, 0.344054
1, 1.766666, 4.327498
1, 1.800000, 2.776472
1, 1.800000, 3.267020
1, 1.800000, 8.551723
1, 1.833333, 0.943417
1, 1.833333, 0.826478
1, 1.833333, 4.607150
1, 1.866666, 2.304388
1, 1.866666, 3.375709
1, 1.866666, 5.507861
1, 1.900000, 7.232081
1, 1.900000, 6.465312
1, 1.900000, 5.832377
1, 1.933333, 4.349585
1, 1.933333, 3.732100
1, 1.933333, 3.413376
1, 1.966666, 3.059479
1, 1.966666, 2.373776
1, 1.966666, 3.282565
1, 2.000000, 6.466820
1, 2.000000, 6.138299
1, 2.000000, 11.252126
1, 2.033333, 1.301264
1, 2.033333, 1.332325
1, 2.033333, 6.645412
1, 2.066666, 1.169063
1, 2.066666, 1.257591
1, 2.066666, 5.321375
1, 2.100000, 2.380116
